iter	Passed	Remaining
1535	111383	106162
1536	111448	106083
1537	111518	106008
1538	111600	105944
1539	111671	105870
1540	111751	105804
1541	111825	105734
1542	111903	105666
1543	111983	105601
1544	112083	105554
1545	112170	105495
1546	112254	105434
1547	112330	105364
1548	112406	105295
1549	112482	105226
1550	112555	105153
1551	112633	105086
1552	112702	105009
1553	112772	104935
1554	112835	104853
1555	112929	104800
1556	113016	104741
1557	113084	104665
1558	113166	104600
1559	113248	104536
1560	113313	104457
1561	113414	104410
1562	113492	104343
1563	113566	104272
1564	113630	104191
1565	113719	104133
1566	113807	104075
1567	113893	104015
1568	113967	103943
1569	114031	103863
1570	114105	103792
1571	114198	103737
1572	114282	103674
1573	114368	103614
1574	114436	103538
1575	114533	103487
1576	114609	103417
1577	114663	103327
1578	114753	103270
1579	114824	103196
1580	114929	103153
1581	114989	103068
1582	115055	102990
1583	115130	102919
1584	115200	102844
1585	115274	102772
1586	115334	102689
1587	115388	102600
1588	115462	102528
1589	115528	102449
1590	115620	102393
1591	115699	102327
1592	115773	102255
1593	115841	102178
1594	115902	102095
1595	115987	102033
1596	116042	101945
1597	116133	101888
1598	116190	101803
1599	116255	101723
1600	116328	101651
1601	116404	101581
1602	116488	101518
1603	116569	101453
1604	116638	101377
1605	116718	101311
1606	116791	101238
1607	116845	101149
1608	116919	101078
1609	116977	100992
1610	117066	100934
1611	117160	100879
1612	117220	100796
1613	117294	100725
1614	117389	100671
1615	117448	100586
1616	117535	100526
1617	117601	100448
1618	117675	100376
1619	117729	100287
1620	117825	100235
1621	117908	100171
1622	117972	100091
1623	118048	100021
1624	118125	99952
1625	118197	99878
1626	118277	99812
1627	118369	99756
1628	118462	99700
1629	118545	99636
1630	118630	99573
1631	118702	99500
1632	118785	99436
1633	118866	99370
1634	118967	99321
1635	119039	99248
1636	119112	99175
1637	119201	99115
1638	119294	99060
1639	119380	98998
1640	119450	98923
1641	119526	98853
1642	119603	98783
1643	119686	98719
1644	119759	98647
1645	119828	98570
1646	119924	98517
1647	119985	98434
1648	120064	98366
1649	120142	98298
1650	120215	98225
1651	120271	98138
1652	120365	98083
1653	120444	98015
1654	120521	97946
1655	120614	97890
1656	120691	97820
1657	120774	97755
1658	120843	97680
